"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0217232356540141","0.184955756611719","0.111562661455705","0.105130154944915","0.0886561304133523","0.097091478446803","0.349718425137364","0.603313301445307","1.70076889286821","0.173127115119192","0.203725059530665","1.29325828901818","1.9733066698771","1.82475490320263","2.58868403929088","4.37936083511966","12.8205281680644","17.114728063734","6.43477620437971","5.30635840915111","",
"Africa Eastern and Southern","AFE","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","16.5277404946885","","","","12.7310985664399","11.3115219610699","4.16226403101345","4.62117890884149","","","","","","","","","","","","","","","","","","","11.1791032639753","19.6718021388771","12.4834093707634","17.4380519391507","19.2742556437115","20.2070368363245","25.1456758066443","21.6072799810665","25.7747049359007","18.8804962688394","19.7887115288081","19.8430844342929","18.9751918668549","19.4132795759442","18.6717184261865","17.580834934111","16.7689697570836","17.8209665261103","18.5826130686798","","",
"Afghanistan","AFG","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","0.0721230987705362","0.0749262608150336","","","","","","","0.0654570597940185","","0.000120402639268663","0.00120959845684641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.137976802486954","0.275244541510738","0.305786388425507","","","","1.06525272819338","1.12452208638717","","1.20988438299409","","",
"Africa Western and Central","AFW","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","3.75696420703547","7.84985830475251","9.05838573005055","9.43132766053881","9.75977790024622","9.24571556215923","9.0315146879224","7.0372187211866","6.22950267284485","5.92428862729094","4.54887752232234","2.72321684194177","2.77577152770821","3.31255793486235","3.40779388671612","3.38645991627998","3.81565067937609","3.28772856052943","","3.79835697449447","","2.23751052721101","0.619791516885678","0.0709170569694195","","","","","","","","","","","2.72760771238562","3.29069831500269","2.52724739959804","2.35891015416321","3.00964214436082","3.14869631817959","2.71337320631852","1.93368945776306","","","1.64048773379663","3.02861765932474","2.95690900278164","1.59221522145377","2.36647252000518","1.54173738925898","1.60093289783597","2.78956955876049","2.69249246917916","2.3362263219079","2.01412643439012","1.67478098027227","1.65686612664686","1.75687735906174","",
"Angola","AGO","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","3.87910351086917","","","","","","","12.1507729058846","12.1220461768477","10.1297315544077","7.76427427112911","6.70517230949005","4.14612510455178","","","","0.0746907067539707","0.0579575801792828","0.103770390935114","0.22316565461298","","","","","","","","","6.22259790016432","4.85604896004024","","","","","","","","","","","","","","","","2.67542615278011","","2.00203146976006","2.03762924921367","1.82030992034358","1.56671569764974","1.7073114724165","2.18366736282803","3.2439213623125","3.5430584083964","3.28881119925662","2.85933459569756","","",
"Albania","ALB","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5926724587052","9.3259391302539","12.5983303691208","3.91057422218601","3.7179233054858","2.91299499497097","3.43255983968605","4.09518729937779","5.55303918360657","24.1407825764506","37.8643455707951","13.5569907237149","32.5785999819577","9.55255184104464","12.8160980293912","11.8992060755054","10.9118331996018","9.78060027064005","4.58216014292409","7.54584273709423","8.80533262643442","5.05886889872078","2.02773335563243","","",
"Andorra","AND","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28774093082588","2.18180773109279","1.66116587733965","1.51417337793656","2.1112519505349","2.19826613149543","2.32001965157747","2.14867273955292","2.35995314121409","2.56704139737746","2.18896354486335","1.82200271689541","2.86275108752025","3.61330167576776","2.8771000294632","4.28347075976846","3.45045815564834","3.60995738692619","3.23122244546925","3.9969773546561","4.50860643403967","2.41509394012002","2.6522441133099","3.21302851208744","","",
"Arab World","ARB","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","3.1306884172115","3.00791135886492","","","2.06306130583029","2.60459779523678","","","","","","","","","","","","25.5483882219278","20.5983374410191","16.6062601871709","","","","","","1.97782901444877","1.84489740125281","2.02656279476605","1.59939534273659","1.49265140988183","1.29145810485555","1.91566363960824","1.21202339464833","1.22620678421476","1.5422385281668","1.27091559401635","1.39323618115309","1.52030668123103","2.09519210995119","1.85225865319321","2.23524768900741","2.97040807514009","3.16725784074304","3.44154196458919","3.48607186746534","2.43945175716458","",
"United Arab Emirates","ARE","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","0.0309864749844809","0.0249046521644514","","","","42.4517103937437","","","","","","","","78.0927765118536","67.7339781897313","54.886383240713","","","","","","4.01040426808986","3.17123176217688","3.70983529958869","2.058972392629","1.70610997692075","1.07668388293058","0.968747921724651","1.37797638535551","1.21861592049709","0.91452342479419","0.862793092737603","1.02364675862417","1.13331007504308","1.61864435665026","1.98932135553398","3.27214950258038","4.5236812180726","4.88854843457482","5.35539695434328","6.00650339873523","3.77502223737403","",
"Argentina","ARG","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","0.813335466392559","0.8338185685096","0.500304019044815","0.268986496528575","0.286643986534945","0.468486610902632","0.645334987792454","0.51577515245482","0.471868854172276","0.529028631535198","0.463152579210259","0.376045074874961","0.47533124127035","0.298571509046831","0.301816725317076","0.266728514132532","0.56833148852063","0.962451116340407","2.1729330219299","1.75455167719082","1.58668728647961","1.30530313653764","1.30632882062616","1.7241380649244","1.82566668529541","2.41126818011","","","","","1.16809954166824","1.15900037878705","1.31190920146745","1.6319182010604","1.16622888074536","1.54525234767863","2.72640652681059","3.27440510617291","2.95260482914875","3.05270707923539","3.86643385692681","3.00518542990703","3.91732292241496","3.21539774249875","4.22283436478006","3.81560736609633","3.20115090870339","3.75718172866516","4.29137515419331","3.9387659483685","4.06073948283846","3.17808818156715","3.2643771037971","2.74931572945724","3.21486759943083","3.1902579096774","0.475469083748085","0.440474605599592","",
